Group 10,,,,,
Average similarity: 46.29,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.31,8.76,#######,18.92,18.92
33.63655172,2.29,6.15,#######,13.28,32.19
15.45769231,2.28,6.09,#######,13.16,45.35
38.5183871,2.23,5.9,#######,12.76,58.11
19.72268293,1.46,4.17,#######,9,67.11
16.3974359,1.25,3.88,#######,8.39,75.5
20.51086207,1.13,2.55,#######,5.51,81.01
14.6988,0.83,2.51,#######,5.42,86.42
22.55076923,0.91,2.5,#######,5.4,91.83
,,,,,
Group 12,,,,,
Average similarity: 49.02,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.89,6.63,#######,13.53,13.53
26.78859155,2.23,5.38,#######,10.98,24.51
19.72268293,2.08,4.85,#######,9.89,34.4
38.5183871,2.01,4.3,#######,8.78,43.18
16.3974359,1.79,4.15,#######,8.47,51.65
9.755306122,1.55,3.82,#######,7.8,59.45
20.51086207,1.09,2.45,#######,5.01,64.45
15.74219178,1.04,2.25,#######,4.59,69.05
17.40942623,0.94,2.15,#######,4.39,73.43
19.66514286,0.95,2.04,#######,4.16,77.59
14.6988,0.79,1.94,#######,3.97,81.56
13.7290678,0.96,1.9,#######,3.88,85.43
22.55076923,0.88,1.73,#######,3.52,88.96
19.6197619,0.97,1.67,#######,3.41,92.36
,,,,,
Group 14,,,,,
Average similarity: 35.16,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
15.45769231,2.68,11.18,#######,31.8,31.8
19.72268293,2.52,10.49,#######,29.85,61.65
16.3974359,2.17,7.91,#######,22.5,84.14
20.51086207,1.45,5.57,#######,15.86,100
,,,,,
Group 15,,,,,
Average similarity: 46.37,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.71,14.67,#######,31.64,31.64
26.78859155,2.44,9.95,#######,21.46,53.1
19.52538462,1.97,8.15,#######,17.58,70.68
21.34820513,1.58,5.52,#######,11.9,82.58
21.405,1.48,5.18,#######,11.17,93.75
,,,,,
Group 16,,,,,
Average similarity: 40.38,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
15.45769231,2.28,4.23,#######,10.48,10.48
19.72268293,2.16,3.59,#######,8.89,19.37
37.56363636,1.5,3.08,#######,7.62,26.99
15.538,1.66,2.85,#######,7.05,34.04
20.51086207,1.39,2.68,#######,6.62,40.67
21.57529412,1.44,2.62,#######,6.49,47.15
15.62272727,1.52,2.56,#######,6.35,53.5
14.6988,1.04,2.31,#######,5.71,59.21
8.47375,1.17,2.24,#######,5.55,64.76
17.62533333,1.14,2.16,#######,5.34,70.1
20.8027027,0.86,1.89,#######,4.69,74.79
17.40942623,1.02,1.82,#######,4.51,79.29
19.20891892,0.93,1.72,#######,4.25,83.54
19.66514286,1.17,1.68,#######,4.15,87.69
